smiles,refcode
BrCc1ccc2ccccc2c1Br,RICBUB
O=S1(=O)c2ccccc2N(C#C)c2ccccc12,RINFAX
Fc1c(F)c(F)c2C(=O)N(c3ccccc3)C(=O)c2c1F,RIGVEJ02
COc1ccc(cc1)N1N=C(C=C1c1ccc(Cl)cc1)C(F)(F)F,ROMMUC
Fc1cc(F)c2nc3cc4ccccc4cc3nc2c1,RUNKIW
Fc1cc2nc3cc4ccccc4cc3nc2cc1F,RUNKOC
Fc1c(F)c(F)c2nc3cc4ccccc4cc3nc2c1F,RUNKUI
Fc1c(F)c(F)c2c(F)c3nc4cc5ccccc5cc4nc3c(F)c2c1F,RUNLAP
Brc1ccccc1Br,SOFWIV01
Fc1cc(Br)ccc1C=O,SOYYAI
Fc1c(Br)c(F)c(nc1C#Cc1ccccc1Cl)C#Cc1ccccc1Cl,SIBTAZ
N1C(=NC(=C1c1ccccc1)c1ccccc1)c1ccccc1C1=NC(=C(N1)c1ccccc1)c1ccccc1,SODQEJ
Nc1nc(Br)c2ccccc2c1c1ccccc1,SUNSUQ
Nc1nc2nc(Br)c3ccccc3c2c2ccccc12,SUNTIF
Brc1ccc(cc1)C(c1ccc(Br)cc1)(c1ccc(Br)cc1)c1ccc(Br)cc1,TAHGAK01
N#Cc1cccc2cccc(C#N)c12,TARPAF01
FC(F)(F)N1N=NC(=C1c1ccccc1)c1ccccc1,TEFPUR
Brc1cc(Br)c(Br)cc1Br,TETBBZ04
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,THALID12
Cc1cc(I)cc(C)c1N,TIHBIW
ClC1=NC(Cl)(Cl)c2ccccc12,TIPTOD
O=C1c2ccccc2C(=O)C21C(c1ccc3ccccc3c1)C1(C2c2ccc3ccccc3c2)C(=O)c2ccccc2C1=O,TOLNAK
Brc1ccc(cc1)C1CC(=NN1c1ccccc1)c1ccc(Br)cc1,TUNRIE
Clc1c(Cl)c2C(=C(Cl)c3c(Cl)c(Cl)c4C(=C(Cl)c1c4c23)Cl)Cl,UBUCUR
Nc1c(Cl)cc(cc1N(=O)=O)N(=O)=O,UCECAG02
Brc1c(I)c(Br)c(I)c(Br)c1I,UCENOG01
Clc1c(I)c(Cl)c(I)c(Cl)c1I,UCEPAU
Brc1cc(Br)c(N=[N+]=[N-])c(Br)c1,UKIXAO
Brc1cnc(nc1)c1ccccc1,ULAQAZ
S=C1CCCC2=C1c1ccccc1N2,UNOXEB
Clc1cc(Cl)c(N=[N+]=[N-])c(Cl)c1,UKIWOB
Brc1ccc(cc1)N(=O)=O,ULEBOD
CN1C=C(c2ccccc12)C1(O)C(=O)Nc2ccc(Br)cc12,SUKTEY
Clc1cc(C#N)c(cc1Cl)C#N,TAGVEC02
Oc1c(Cl)c(Cl)c(O)c(C#N)c1C#N,TAHFIR
CC1=NC2=CC(=NN2C2=C1CCC2)c1ccc(Cl)cc1,TAQBUJ
Fc1c(I)c(F)c(I)c(F)c1I,UCEPEY01
Fc1c(F)c(c(F)c(F)c1C#N)c1ccc(Br)cc1,UHUHUC
Ic1nc2ccccc2c(I)c1c1ccccc1,UYOVOU
Clc1ccc2Nc3cc4c(Nc5ccc(Cl)cc45)cc3c2c1,VARNAF
Clc1c(Cl)c(Cl)c2C3CC(C4C5CCC(CC5)C34)c2c1Cl,WAMJAV
Fc1ccc(cc1)c1cc2ccccc2c2ccc3ccccc3c12,SULCEJ
Oc1cc(Cl)c(O)c(c1Cl)c1ccc(Cl)cc1,WOLWOK
OC12CCCC(CC(=N1)c1ccccc1)C2,WULTED
Clc1ccc2ccccc2c1c1ncccn1,WULZAF
S1C(=CC2=C(C3c4ccccc4C12c1ccccc31)c1ccccc1)c1ccccc1,XAYBOQ
FC(F)(F)c1ccc(cc1)C1=CC2=C(C3c4ccccc4C2(S1)c1ccccc31)c1ccc(cc1)C(F)(F)F,XAYCEH
Cc1c(C)c2OC(=O)CCc2c2CCC(=O)Oc12,XEBPEB
Fc1ccc(F)c2c1ccc1ccc3ccccc3c21,XIPMEP
OC1C=Cc2c(ccc3ccc4c(F)ccc(F)c4c23)C1O,XIPMIT
Clc1ccc(cc1)C1=NN(c2ccccc2)c2c3cc(Br)ccc3nc(c3ccccc3)c12,XUCPIW
O=C1OCCCOC(=O)C(CC=CCC1c1ccccc1)c1ccccc1,XUFKUG
N#Cc1nc2Nc3ccccc3N(c3ccccc3)c2nc1C#N,XUJZEJ
Clc1ccc(cc1Cl)c1cc(c2ccccc2)c2ccc3ccccc3c2n1,YAFYIP
Brc1ccccc1N(=O)=O,YAQZUM
BrC(Br)(Br)c1ccc(cc1)C(Br)(Br)Br,YADKUL
O=C1C(Oc2ccccc12)c1ccccc1,YIHFOL
Clc1c(Cl)c2c3c(Cl)c(Cl)c4C(=O)NC(=O)c5c(Cl)c(Cl)c(c6c(Cl)c(Cl)c7C(=O)NC(=O)c1c7c26)c3c45,SULREX
BrC(Br)=C1C(=C(c2ccccc2)C(=C1c1ccccc1)c1ccccc1)c1ccccc1,TIKFAW01
Fc1ccc(cc1)N1C(=O)C2C3C=CC(C2C1=O)C3=C(c1ccccc1)c1ccccc1,TUTXIQ
Fc1cc(F)c(N2C(=O)C3C4C=CC(C3C2=O)C4=C(c2ccccc2)c2ccccc2)c(F)c1,TUTYAJ
Cc1cc(O)c2C(=O)C(=C(C)Oc2c1)I,UTISAS
Clc1ccc2CCC(=O)c2c1,UXOCIV
Oc1cc(c(O)cc1Cl)c1ccccc1,WOLWEAf
Cc1c(ccc(I)c1N(=O)=O)N(=O)=O,WAWFUW
