smiles,refcode
CC(=O)NCCNC(C)=O,ABAWEG01
c1ccc2c(c1)cccc2C#Cc1ccccc1C#Cc1cccc2ccccc12,ABEJIC
O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,ABEJOH
COC,ABEWAG
CC(O)=O,ACETAC07
CC(=O)Nc1ccc(C)cc1,ACTOLD07
OCC1OC(O)C(O)C(O)C1O,ADGALA03
COC(=O)c1nccnc1N,ADUWUS01
[N+]C1CCC2CCC(N2C1=O)C(=O)[O-],AFAFAP
CC1(C)OC(CC(O)=O)C(=O)O1,AFEREJ
CC1(CC2CCCCN2O1)C#N,AHETOX
CC(C)C(=O)NCc1ccccc1,AHEYOC
N#Cc1cccc(Oc2cccnc2)c1C#N,AHITUH
CC(C)(C)c1ccc(O)c(CN2CCN(CC2)Cc2cc(ccc2O)C(C)(C)C)c1,AHOPOD
[N+]C(C)C(=O)[O-],ALUCAL05
O=C(Nc1cccc2ccccc12)Nc1cccc2ccccc12,AMAFEZ01
[N+]CCCCCC(=O)[O-],AMCAPR11
CC1(C)O[N+](=C2CCCCC2=C1)[O-],ANAXOD
COc1ccc(cc1)C(O)=O,ANISIC04
CC1(COc2cc(ccc12)C(=O)N1CCCCC1)Cc1ccccc1,ANIVID
CC1(CCCCC1)OC(=O)c1c2ccccc2cc2ccccc12,ANOBAH
CC(C)(C)OC(=O)C12C3c4ccccc4C(C(c4ccccc14)c1ccccc21)(C(=O)OC(C)(C)C)c1ccccc31,ANODAJ
COC(=O)C1CNc2ccccc2N2C=CN=C2C1O,APENIT
COC1OC(CO)C(O)C(O)C1NC=O,APOLUN
COC1(c2ccccc2)c2ccccc2C(OC)(c2ccccc2)c2ccccc12,APOXOT
O=C1NCCCN1,APYFEB01
COc1ccc(cc1)C1=NC(C)(OC21C(=O)N(C)c1ccccc21)C(=O)OC,ASOLUQ
C1CC21OC12CN(C1)C(c1ccccc1)c1ccccc1,ASUNAE
CC=CC1=CC(O)C(O)C1=O,ATUHEC
CC(=Nc1cc(ccc1C(C)(C)C)C(C)(C)C)C(C)=Nc1cc(ccc1C(C)(C)C)C(C)(C)C,ATUNAF
Cc1cc(C)cc(c1)N=C1C(=O)c2cccc3cccc1c23,ATUNOT
Cc1cccc(C)c1N=C1C(=O)c2cccc3cccc1c23,ATUPAH
CC(=O)Nc1ccc(N)cc1N(=O)=O,AVOJUR
CC(C)C1CCN(C1C(O)=O)C(=O)OCc1ccccc1,AWAVUQ
O=C1OC2C3CC(C=C3)C2C1Nc1ccc(cc1N(=O)=O)N(=O)=O,AXEGAM
CC(C#N)(c1ccccc1)C(=O)C(C)(C#N)c1ccccc1,AXOQOU
CC(=O)Oc1ccccc1,AXUDIH
C1CCC2=C(C1)N=C(Nc1ccccc1)N2c1ccccc1,AYATEA
CCOC(=O)C(=CC1=CC=CN1C)C#N,AYUGEH
CCOC(=O)C1=C(ON=C1C)C(C)=NN=C(C)C1=C(C(=O)OCC)C(=NO1)C,AYUGIL
OC(=O)C(CC1=CNc2ccccc12)[N+]=Cc1cccc(O)c1[O-],AYUVOG
O=C1NC2=C(CCc3ccccc23)C(=C1C#N)c1ccccc1,AZAMOE
C1CC2CC1CC2C1CC2CCC1C2,AZIBEQ
CC1=C(N=CN1c1ccccc1)N(=O)=O,AZIQIJ
CC(C)(C)N([O])c1cc(cc(c1)c1ccccc1)N([O])C(C)(C)C,AZOMAD
CCCC1=Nc2cc(ccc2N1CCO)C(=O)OCC,AZUPUH
CCC(C)(C)c1cc(OC)c(cc1OC)C(C)(C)CC,AZUQOC
CC(=O)OCC1OC(C=CC1OC(C)=O)C1=CN(N=N1)c1ccccc1,AZUYEA
CN1N(c2ccccc2)C(=O)C(=C1C)C1=Nc2ccccc2N1,BABBOX
CC12CC(COC(=O)c3ccccc3)C1(O)CC(=O)C2,BABYOU
COC(=O)c1cc(c([n+]n1)C=C([O-])c1ccccc1)c1ccccc1,BAFDIX
O=C1N(C(=O)c2cccc3cccc1c23)c1ccccc1OCC#C,BAFPEF
O=C(C=C1CC(Nc2ncccc2N1)c1ccccc1)c1ccccc1,BAJYOB
CC(C)CC1=C(C(=O)NC1=O)c1ccc(OCC=C(C)C)cc1,BELWUL
OC1COc2ccc3ccccc3c2C1c1ccccc1,BEWPAV
CCC12CCC(C)(NC1=O)NC2=O,BEXMIB
O=C1NC2(CCC1C(=O)N2)c1ccccc1,BEXMUN
O=C1CCC2=C(C#N)c3cc4OCOc4cc3CCN12,BEXXUY
CC1OC(=O)C(C)OC1=O,BEYDEO01
OCC[N+](CCO)CC(=O)[O-],BICINE01
CC1OC(=O)C(C)OC1=O,BICVIS02
CC(C)(C)OC(N)=O,BIFPEL01
COc1ccc(cc1)C1CC(=O)CC(=C(C)C)C(C1)=C(C)C,BIJYID
COC(=O)C=CC1C2CCC3C2C(C)(C)CCCC13C,BIVLEY
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,BLACTO02
Oc1cc2C(=O)c3ccccc3C(=O)c2cc1C=O,BOGWEA
COC1OC(C(O)C(N=[N+]=[N-])C(=O)OC)C2(O)C(O)COC12,BOKSIE
CNC(=O)C(O)C#N,BOLZIL
Cc1ccc(NC(=Nc2ccc(C)cc2)N2C=NC(=C2C)C)cc1,BORSUX
CC(C)NC(=NC(C)C)N1C(=NC(=C1C)C)C,BORTOS
COC1(CC(=O)c2ccccc2)OC(=O)C(=C1c1ccccc1)O,BOSJID
[N-]=[N+]=NC(N=[N+]=[N-])c1cc(C(N=[N+]=[N-])N=[N+]=[N-])c(cc1C(N=[N+]=[N-])N=[N+]=[N-])C(N=[N+]=[N-])N=[N+]=[N-],BOTWAJ
CC1=C2C(c3ccccc3)C(=C(N)OC2=NN1)C#N,BOYZUL
CN1C=C(C(=N1)C(O)=O)N(=O)=O,BOZGED
CC(=O)OC1C2CC(O)C(O)CC(N2)C(OC(C)=O)C1OC(C)=O,BOZZAS
O=C(c1ccccc1)c1ccccc1,BPHENO12
COc1c(CC=C(C)C)c(C=O)cc2c1Nc1ccccc21,BUDWIH
N(C1C2N(C3C(Nc4ccccc4)N(C(C(N1c1ccccc1)N2c1ccccc1)N3c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,BUFKAP
O=C1Nc2ccccc2O1,BZOXZO01
CC1(C)CCCC2(CCC(=O)OC2)C1CO,CAGMEE
O=C1C=CC2CC3=CCCC13O2,CAJDIC
CC1(CC(C)(CC(C)(C1)N=C=O)N=C=O)N=C=O,CAKREM
CCCCCCCOc1ccc(cc1)N=Nc1c(C)c(C)c(N=Nc2ccc(OCCCCCCC)cc2)c(C)c1C,CAMWIY
COc1ccc2OC3(CCc4cccc(OC)c4O3)Cc2c1,CASGAF
Oc1ccccc1O,CATCOL13
COC(=O)c1ccc(O)cc1,CEBGOF03
