[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[cH]1[cH][cH]c2c([cH]1)[cH][cH][cH]c2C#Cc1[cH][cH][cH][cH]c1C#Cc1[cH][cH][cH]c2[cH][cH][cH][cH]c12  c1ccc2c(c1)cccc2C#Cc1ccccc1C#Cc1cccc2ccccc12  ABEJIC
O=C1[NH][CH]2[CH](N([CH2]N2N(=O)=O)N(=O)=O)N1N(=O)=O  O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O  ABEJOH
[CH3]O[CH3]  COC  ABEWAG
[CH3]C(=O)[OH]  CC(O)=O  ACETAC07
[CH3]C(=O)[NH]c1[cH][cH]c([CH3])[cH][cH]1  CC(=O)Nc1ccc(C)cc1  ACTOLD07
[OH][CH2][CH]1O[CH]([OH])[CH]([OH])[CH]([OH])[CH]1[OH]  OCC1OC(O)C(O)C(O)C1O  ADGALA03
[CH3]OC(=O)c1n[cH][cH]nc1[NH2]  COC(=O)c1nccnc1N  ADUWUS01
[NH3+][CH]1[CH2][CH2][CH]2[CH2][CH2][CH](N2C1=O)C(=O)[O-]  [NH3+]C1CCC2CCC(N2C1=O)C(=O)[O-]  AFAFAP
[CH3]C1([CH3])O[CH]([CH2]C(=O)[OH])C(=O)O1  CC1(C)OC(CC(O)=O)C(=O)O1  AFEREJ
[CH3]C1([CH2][CH]2[CH2][CH2][CH2][CH2]N2O1)C#N  CC1(CC2CCCCN2O1)C#N  AHETOX
[CH3][CH]([CH3])C(=O)[NH][CH2]c1[cH][cH][cH][cH][cH]1  CC(C)C(=O)NCc1ccccc1  AHEYOC
N#Cc1[cH][cH][cH]c(Oc2[cH][cH][cH]n[cH]2)c1C#N  N#Cc1cccc(Oc2cccnc2)c1C#N  AHITUH
[CH3]C([CH3])([CH3])c1[cH][cH]c([OH])c([CH2]N2[CH2][CH2]N([CH2][CH2]2)[CH2]c2[cH]c([cH][cH]c2[OH])C([CH3])([CH3])[CH3])[cH]1  CC(C)(C)c1ccc(O)c(CN2CCN(CC2)Cc2cc(ccc2O)C(C)(C)C)c1  AHOPOD
[NH3+][CH]([CH3])C(=O)[O-]  [NH3+]C(C)C(=O)[O-]  ALUCAL05
O=C([NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12)[NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12  O=C(Nc1cccc2ccccc12)Nc1cccc2ccccc12  AMAFEZ01
[NH3+][CH2][CH2][CH2][CH2][CH2]C(=O)[O-]  [NH3+]CCCCCC(=O)[O-]  AMCAPR11
[CH3]C1([CH3])O[N+](=C2[CH2][CH2][CH2][CH2]C2=[CH]1)[O-]  CC1(C)O[N+](=C2CCCCC2=C1)[O-]  ANAXOD
[CH3]Oc1[cH][cH]c([cH][cH]1)C(=O)[OH]  COc1ccc(cc1)C(O)=O  ANISIC04
[CH3]C1([CH2]Oc2[cH]c([cH][cH]c12)C(=O)N1[CH2][CH2][CH2][CH2][CH2]1)[CH2]c1[cH][cH][cH][cH][cH]1  CC1(COc2cc(ccc12)C(=O)N1CCCCC1)Cc1ccccc1  ANIVID
[CH3]C1([CH2][CH2][CH2][CH2][CH2]1)OC(=O)c1c2[cH][cH][cH][cH]c2[cH]c2[cH][cH][cH][cH]c12  CC1(CCCCC1)OC(=O)c1c2ccccc2cc2ccccc12  ANOBAH
[CH3]C([CH3])([CH3])OC(=O)C12[CH]3c4[cH][cH][cH][cH]c4C([CH](c4[cH][cH][cH][cH]c14)c1[cH][cH][cH][cH]c21)(C(=O)OC([CH3])([CH3])[CH3])c1[cH][cH][cH][cH]c31  CC(C)(C)OC(=O)C12C3c4ccccc4C(C(c4ccccc14)c1ccccc21)(C(=O)OC(C)(C)C)c1ccccc31  ANODAJ
[CH3]OC(=O)[CH]1[CH2][NH]c2[cH][cH][cH][cH]c2n2[cH][cH]nc2[CH]1[OH]  COC(=O)C1CNc2ccccc2N2C=CN=C2C1O  APENIT
[CH3]O[CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[NH][CH]=O  COC1OC(CO)C(O)C(O)C1NC=O  APOLUN
[CH3]OC1(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c2C(O[CH3])(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c12  COC1(c2ccccc2)c2ccccc2C(OC)(c2ccccc2)c2ccccc12  APOXOT
O=C1[NH][CH2][CH2][CH2][NH]1  O=C1NCCCN1  APYFEB01
