CC(=O)NCCNC(=O)C	ABAWEG01
c1ccc(c(c1)C#Cc1cccc2c1cccc2)C#Cc1cccc2c1cccc2	ABEJIC
O=N(=O)N1CN(C2C1NC(=O)N2N(=O)=O)N(=O)=O	ABEJOH
COC	ABEWAG
Brc1ccc(c(c1)C)N	ABRTOL
OC(=O)c1ccc(c(c1)F)C	ACEQUV
CC(=O)O	ACETAC07
Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N	ACLBPH
CC(=O)Nc1ccc(cc1)C	ACTOLD07
OCC1OC(O)C(C(C1O)O)O	ADGALA03
COc1c(O)cccc1N(=O)=O	ADIPEJ
COC(=O)c1nccnc1N	ADUWUS01
[NH3+]C1CCC2N(C1=O)C(CC2)C(=O)[O-]	AFAFAP
OC(=O)CC1OC(OC1=O)(C)C	AFEREJ
O=C1OCc2c1ccc(c2Br)N.O=C1OCc2c1ccc(c2Br)N	AFERUZ
N#CC1(C)CC2N(O1)CCCC2	AHETOX
CC(C(=O)NCc1ccccc1)C	AHEYOC
N#CC1C(=O)NNC21CCCCC2	AHIKEI
N#Cc1c(cccc1C#N)Oc1cccnc1	AHITUH
CC(c1ccc(c(c1)CN1CCN(CC1)Cc1cc(ccc1O)C(C)(C)C)O)(C)C	AHOPOD
O=N(=O)c1c(c2ccc(cc2)c2ccccc2)c(F)c(c(c1F)F)F	AKUNOK
[O-]C(=O)C([NH3+])C	ALUCAL05
O=C(Nc1cccc2c1cccc2)Nc1cccc2c1cccc2	AMAFEZ01
[NH3+]CCCCCC(=O)[O-]	AMCAPR11
Clc1ccc(c(c1)N)O	AMCPHO
Nc1ccccc1O	AMPHOM03
[O-][N+]1=C2CCCCC2=CC(O1)(C)C	ANAXOD
COc1ccc(cc1)C(=O)O	ANISIC04
O=C(c1ccc2c(c1)OCC2(C)Cc1ccccc1)N1CCCCC1	ANIVID
O=C(c1c2ccccc2cc2c1cccc2)OC1(C)CCCCC1	ANOBAH
O=C(C12c3ccccc3C(c3c1cccc3)C1(c3c(C2c2ccccc12)cccc3)C(=O)OC(C)(C)C)OC(C)(C)C	ANODAJ
COC(=O)c1ccc2c(c1)NC(c1cccc(c1)N(=O)=O)c1c3N2CCc3ccc1	ANOSAY
N#Cc1cccc2c1ccc1c2nnc2c1cc(cc2)N(C)C	APACEA
COC(=O)C1CNc2ccccc2-n2c(C1O)ncc2	APENIT
O=CNC1C(OC)OC(C(C1O)O)CO	APOLUN
COC1(c2ccccc2)c2ccccc2C(c2c1cccc2)(OC)c1ccccc1	APOXOT
Fc1cc(F)c2c(c1)c1c3c4c2c2c(F)c(F)c(c(c2c2c4c4c5c3c(c3c1cc(F)cc3F)c1c(F)c(F)c(c(c1c5c1c(c4c3c2c(F)cc(c3)F)cc(cc1F)F)F)F)F)F	APUDEV
O=C1C2CCCN2C(=O)C2N1CCC2	APUHOJ
O=C1NCCCN1	APYFEB01
COc1ccc(cc1)C1=NC(OC21C(=O)N(c1c2cccc1)C)(C)C(=O)OC	ASOLUQ
c1ccc(cc1)C(c1ccccc1)N1CC2(C1)OC12CC1	ASUNAE
O=Cc1c2c3ccccc3CCCn2c2c1cccc2	ATIGUG
CC=CC1=CC(C(C1=O)O)O	ATUHEC
CC(=Nc1cc(ccc1C(C)(C)C)C(C)(C)C)C(=Nc1cc(ccc1C(C)(C)C)C(C)(C)C)C	ATUNAF
Cc1cc(C)cc(c1)N=C1C(=O)c2c3c1cccc3ccc2	ATUNOT
Cc1cccc(c1N=C1c2cccc3c2c(C1=O)ccc3)C	ATUPAH
C#CC1(O)c2c(Cl)cccc2C(c2c1cccc2Cl)(O)C#C	AVIWIL
CC(=O)Nc1ccc(cc1N(=O)=O)N	AVOJUR
CC(C1CCN(C1C(=O)O)C(=O)OCc1ccccc1)C	AWAVUQ
O=C1OC2C(C1Nc1ccc(cc1N(=O)=O)N(=O)=O)C1CC2C=C1	AXEGAM
N#CC(C(=O)C(c1ccccc1)(C#N)C)(c1ccccc1)C	AXOQOU
CC(=O)Oc1ccccc1	AXUDIH
CC(=O)c1ccc2c3c1c(O)ccc3CC2	AYASUP
c1ccc(cc1)Nc1nc2c(n1c1ccccc1)CCCC2	AYATEA
Nc1ccc(c(c1)Cl)C(=O)O.Nc1ccc(c(c1)Cl)C(=O)O	AYOSOX
COc1cc(O)c(c2c1CCC(O2)(C)C)C(=O)C=Cc1ccc2c(c1)OCO2	AYUDAA
CCOC(=O)C(=Cc1cccn1C)C#N	AYUGEH
CCOC(=O)c1c(C)noc1C(=NN=C(c1onc(c1C(=O)OCC)C)C)C	AYUGIL
[O-]c1c(cccc1O)C=[NH+]C(C(=O)O)Cc1c[nH]c2c1cccc2	AYUVOG
N#Cc1c(=O)[nH]c2c3ccccc3CCc2c1c1ccccc1	AZAMOE
C1CC2CC1CC2C1CC2CC1CC2	AZIBEQ
O=N(=O)c1ncn(c1C)c1ccccc1	AZIQIJ
ON(C(C)(C)C)c1cc(cc(c1)c1ccccc1)N(C(C)(C)C)O	AZOMAD
CCOC(=O)c1ccc2c(c1)nc(n2CCO)CCC	AZUPUH
CCC(c1cc(OC)c(cc1OC)C(CC)(C)C)(C)C	AZUQOC
