Cc1cc(Br)ccc1N	ABRTOL
Cc1ccc(cc1F)C(O)=O	ACEQUV
O=C1C(=O)c2cccc3cccc1c23	ACNAQU01
Nc1ncc(c(n1)c1ccccc1)N(=O)=O	AHACIX
O=C1CNC(=O)CN1.Oc1cc(Cl)c(O)cc1Cl	AJAGOH
Fc1c(F)c(F)c(c(c1F)c1ccc(cc1)c1ccccc1)N(=O)=O	AKUNOK
Fc1cc(F)c2c(c1)c1c3cc(F)cc(F)c3c3c4c(F)c(F)c(F)c(F)c4c4c5c(F)cc(F)cc5c5c6cc(F)cc(F)c6c6c7c(F)c(F)c(F)c(F)c7c2c2c1c3c4c5c62	APUDEV
OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2cccc(Cl)c12	AVIWIL
Oc1c(Cl)cccc1C1=NN(C=C1C=O)c1ccccc1	AZUVUN
Fc1c(F)c(F)c(C#Cc2c(F)c(F)c(C#Cc3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(F)c1F	BEWZEJ
O=C1NC2(CCC1C(=O)N2)c1ccccc1	BEXMUN
Brc1c(Br)c(Br)c2c(Br)c(Br)c(Br)c(Br)c2c1Br	BIGVUI01
Nc1c(Br)c(C(O)=O)c(Br)c(C(O)=O)c1Br	BOTVUC
Nc1c(F)c(F)c(N)c(F)c1F	CAFVAG
BrC1C(Br)c2ccccc12	CBBCBT
ClC1C(Cl)c2ccccc12	CCBCBT
ClC1CC(OC(C1)c1ccc(Cl)cc1)c1ccc(Cl)cc1	CEWWOR
OC(=O)c1ccc(Cl)cc1	CLBZAP03
Fc1ccc(cc1)C1=CC=C(S1)C1=CC=C(S1)c1ccc(F)cc1	COBDAA
OC(=O)c1cccc(F)c1	COVJIG01
Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F	DECFDP02
Fc1cc2ccccc2c2ccc3ccccc3c12	DEXWUA
FC(F)(F)C1(CC(c2ccc(Cl)cc2)c2ccccc12)c1ccccc1	DUMLOO
N1C(SC(SC1c1ccccc1)c1ccccc1)c1ccccc1	DUPTAL
Brc1ccc2c(ccc3OC(NC(c4ccccc4)c23)c2ccccc2)c1	DUTHUW
OC(=O)c1c(F)cccc1F	DUTREQ
Clc1ccc(c2C(=O)c3c(Cl)ccc(c3C(=O)c12)N(=O)=O)N(=O)=O	DUTWEV
Fc1c(F)c(F)c2cc3c4ccccc4c4ccccc4c3cc2c1F	DUXSAS
FC(F)(F)c1ccc(cc1)C#N	EFATOU
Nc1ccc(cc1C(F)(F)F)N(=O)=O	EFAXUE
Nc1ccc(c(c1)C(F)(F)F)N(=O)=O	EFAYAL
Clc1nc2ccccc2nc1Cl	EGOSOK
Cc1ccc(Cl)c(O)c1	EKENUD
S1C(Sc2ccccc12)=C(C#Cc1ccccn1)C#Cc1ccccn1	EKUQAC
CC1=NN(C(C1)c1ccccc1)C1=NC(=O)CS1	ERATUM
Oc1c(Br)cc(Br)c(O)c1Br	ERIXUY
Cc1c(C)c2OC(=O)CCc2c(C)c1O	EVACEK
CC1=C(Nc2ccccc12)c1ccc(F)cc1	EVAKUI
Fc1c(F)c(c(F)c(F)c1Br)N(=O)=O	EVATIF
Cc1ccc(cc1)C1=NN=C(O1)c1ccccc1	EVEMEY
CC1=C(C#N)c2ccccc2N1c1ccc(Br)cc1	EXIPUX
Fc1ccccc1	FACFAQ
Fc1ccccc1F	FACFOE
Oc1ccc(Cl)c2cccnc12	FAMDIG02
FC(F)(F)c1cc2N=C3C=CC=CN3c2c(c1)N(=O)=O	FAXVIJ
FC(F)(F)c1ccc(cc1)C1OC(=O)CC1c1ccccc1	FEHQEP
